Level1,Level2,Level3,Level4,Citations
2005-2008,0,Causal inference in sensorimotor integration,A Bayesian Model of Conditioned Perception,0
2005-2008,0,Causal inference in sensorimotor integration,Characterizing response behavior in multisensory perception with conflicting cues,0.38
2005-2008,0,Causal inference in sensorimotor integration,"Multisensory Encoding, Decoding, and Identification",0.893
2014-2017,1,Online Learning with Gaussian Payoffs and Side Observations,Causal Bandits: Learning Good Interventions via Causal Inference,0.083
2011-2014,2,Adaptive dropout for training deep neural networks,Altitude Training: Strong Bounds for Single-Layer Dropout,54.561
2011-2014,2,Adaptive dropout for training deep neural networks,Variational Dropout and the Local Reparameterization Trick,0.052
2011-2014,2,Adaptive dropout for training deep neural networks,Improved Dropout for Shallow and Deep Learning,0.105
2014-2017,3,Bayesian Optimization with Exponential Convergence,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,83.099
2002-2005,4,Infinite latent feature models and the Indian buffet process,Modeling Dyadic Data with Binary Latent Factors,2.075
2002-2005,4,Infinite latent feature models and the Indian buffet process,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,0.059
2002-2005,4,Infinite latent feature models and the Indian buffet process,Particle Filtering for Nonparametric Bayesian Matrix Factorization,0.146
2002-2005,4,Infinite latent feature models and the Indian buffet process,The Infinite Gamma-Poisson Feature Model,0.146
2002-2005,4,Infinite latent feature models and the Indian buffet process,Analyzing human feature learning as nonparametric Bayesian inference,61.661
2002-2005,4,Infinite latent feature models and the Indian buffet process,Indian Buffet Processes with Power-law Behavior,0.175
2002-2005,4,Infinite latent feature models and the Indian buffet process,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,25.456
2002-2005,4,Infinite latent feature models and the Indian buffet process,Sharing Features among Dynamical Systems with Beta Processes,29.19
2002-2005,4,Infinite latent feature models and the Indian buffet process,Construction of Nonparametric Bayesian Models from Parametric Bayes Equations,2.629
2002-2005,4,Infinite latent feature models and the Indian buffet process,Bayesian Nonparametric Models on Decomposable Graphs,676.467
2002-2005,4,Infinite latent feature models and the Indian buffet process,Learning invariant features using the Transformed Indian Buffet Process,4.317
2002-2005,4,Infinite latent feature models and the Indian buffet process,The Kernel Beta Process,2.495
2002-2005,4,Infinite latent feature models and the Indian buffet process,Inferring Interaction Networks using the IBP applied to microRNA Target Prediction,3.026
2002-2005,4,Infinite latent feature models and the Indian buffet process,Infinite Latent SVM for Classification and Multi-task Learning,143.547
2002-2005,4,Infinite latent feature models and the Indian buffet process,Truncation-free Online Variational Inference for Bayesian Nonparametric Models,0.16
2002-2005,4,Infinite latent feature models and the Indian buffet process,Nonparametric Max-Margin Matrix Factorization for Collaborative Prediction,3.339
2002-2005,4,Infinite latent feature models and the Indian buffet process,Effective Split-Merge Monte Carlo Methods for Nonparametric Models of Sequential Data,0.196
2002-2005,4,Infinite latent feature models and the Indian buffet process,Augment-and-Conquer Negative Binomial Processes,6.953
2002-2005,4,Infinite latent feature models and the Indian buffet process,Factorial LDA: Sparse Multi-Dimensional Text Models,3.649
2002-2005,4,Infinite latent feature models and the Indian buffet process,Joint Modeling of a Matrix with Associated Text via Latent Binary Features,0.59
2002-2005,4,Infinite latent feature models and the Indian buffet process,Bayesian nonparametric models for bipartite graphs,20.844
2002-2005,4,Infinite latent feature models and the Indian buffet process,Restricting exchangeable nonparametric distributions,6.95
2002-2005,4,Infinite latent feature models and the Indian buffet process,Efficient Online Inference for Bayesian Nonparametric Relational Models,21.257
2002-2005,4,Infinite latent feature models and the Indian buffet process,Beta-Negative Binomial Process and Exchangeable ?Random Partitions for Mixed-Membership Modeling,3.933
2002-2005,4,Infinite latent feature models and the Indian buffet process,"Streaming, Distributed Variational Inference for Bayesian Nonparametrics",0.322
2002-2005,4,Infinite latent feature models and the Indian buffet process,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models,14.103
2005-2008,5,Infinite latent feature models and the Indian buffet process,Modeling Dyadic Data with Binary Latent Factors,2.395
2005-2008,5,Infinite latent feature models and the Indian buffet process,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,228.9
2005-2008,5,Infinite latent feature models and the Indian buffet process,Particle Filtering for Nonparametric Bayesian Matrix Factorization,5.4
2005-2008,5,Infinite latent feature models and the Indian buffet process,The Infinite Gamma-Poisson Feature Model,0
2005-2008,5,Infinite latent feature models and the Indian buffet process,Analyzing human feature learning as nonparametric Bayesian inference,194.019
2005-2008,5,Infinite latent feature models and the Indian buffet process,Indian Buffet Processes with Power-law Behavior,4.082
2005-2008,5,Infinite latent feature models and the Indian buffet process,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,8.985
2005-2008,5,Infinite latent feature models and the Indian buffet process,Sharing Features among Dynamical Systems with Beta Processes,0.215
2005-2008,5,Infinite latent feature models and the Indian buffet process,Construction of Nonparametric Bayesian Models from Parametric Bayes Equations,4.4
2005-2008,5,Infinite latent feature models and the Indian buffet process,Bayesian Nonparametric Models on Decomposable Graphs,0.424
2005-2008,5,Infinite latent feature models and the Indian buffet process,Learning invariant features using the Transformed Indian Buffet Process,56.194
2005-2008,5,Infinite latent feature models and the Indian buffet process,The Kernel Beta Process,54.735
2005-2008,5,Infinite latent feature models and the Indian buffet process,Inferring Interaction Networks using the IBP applied to microRNA Target Prediction,5.87
2005-2008,5,Infinite latent feature models and the Indian buffet process,Infinite Latent SVM for Classification and Multi-task Learning,10.513
2005-2008,5,Infinite latent feature models and the Indian buffet process,Truncation-free Online Variational Inference for Bayesian Nonparametric Models,20.811
2005-2008,5,Infinite latent feature models and the Indian buffet process,Nonparametric Max-Margin Matrix Factorization for Collaborative Prediction,0.225
2005-2008,5,Infinite latent feature models and the Indian buffet process,Effective Split-Merge Monte Carlo Methods for Nonparametric Models of Sequential Data,0.134
2005-2008,5,Infinite latent feature models and the Indian buffet process,Augment-and-Conquer Negative Binomial Processes,1.126
2005-2008,5,Infinite latent feature models and the Indian buffet process,Factorial LDA: Sparse Multi-Dimensional Text Models,5.8
2005-2008,5,Infinite latent feature models and the Indian buffet process,Joint Modeling of a Matrix with Associated Text via Latent Binary Features,0.672
2005-2008,5,Infinite latent feature models and the Indian buffet process,Bayesian nonparametric models for bipartite graphs,3.552
2005-2008,5,Infinite latent feature models and the Indian buffet process,Restricting exchangeable nonparametric distributions,273.401
2005-2008,5,Infinite latent feature models and the Indian buffet process,Efficient Online Inference for Bayesian Nonparametric Relational Models,3.761
2005-2008,5,Infinite latent feature models and the Indian buffet process,Beta-Negative Binomial Process and Exchangeable ?Random Partitions for Mixed-Membership Modeling,264.336
2005-2008,5,Infinite latent feature models and the Indian buffet process,"Streaming, Distributed Variational Inference for Bayesian Nonparametrics",2.195
2005-2008,5,Infinite latent feature models and the Indian buffet process,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models,281.418
2011-2014,6,Linear decision rule as aspiration for simple decision heuristics,Learning From Small Samples: An Analysis of Simple Decision Heuristics,0.399
1999-2002,7,Prodding the ROC Curve: Constrained Optimization of Classifier Performance,Confidence Intervals for the Area Under the ROC Curve,75.119
1993-1996,8,Independent Component Analysis of Electroencephalographic Data,Extended ICA Removes Artifacts from Electroencephalographic Recordings,0.61
2008-2011,9,Efficient Minimization of Decomposable Submodular Functions,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,0.767
2008-2011,9,Efficient Minimization of Decomposable Submodular Functions,Cooperative Graphical Models,28.2
2008-2011,10,Evaluating the inverse decision-making approach to preference learning,Rational inference of relative preferences,72.6
2008-2011,10,Evaluating the inverse decision-making approach to preference learning,Magnitude-sensitive preference formation`,144.1
2011-2014,11,Evaluating the inverse decision-making approach to preference learning,Rational inference of relative preferences,0
2011-2014,11,Evaluating the inverse decision-making approach to preference learning,Magnitude-sensitive preference formation`,1.4
1987-1990,12,A Programmable Analog Neural Computer and Simulator,A Reconfigurable Analog VLSI Neural Network Chip,6.2
2011-2014,13,"Stochastic Gradient Descent, Weighted Sampling, and the Randomized Kaczmarz algorithm",SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,0
2014-2017,0,"Stochastic Gradient Descent, Weighted Sampling, and the Randomized Kaczmarz algorithm",SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,0.6
1987-1990,1,Presynaptic Neural Information Processing,"Does the Neuron ""Learn"" like the Synapse?",3.2
2005-2008,2,Speakers optimize information density through syntactic reduction,Inference and communication in the game of Password,0
2005-2008,2,Speakers optimize information density through syntactic reduction,Why are some word orders more common than others? A uniform information density account,0.115
2008-2011,3,An LP View of the M-best MAP problem,Maximum Margin Multi-Label Structured Prediction,0.455
2008-2011,3,An LP View of the M-best MAP problem,Multiple Choice Learning: Learning to Produce Multiple Structured Outputs,0.373
2011-2014,4,Expectation Propagation in Gaussian Process Dynamical Systems,Gaussian Process Volatility Model,0.132
2011-2014,5,Robustness and risk-sensitivity in Markov decision processes,Policy Gradient for Coherent Risk Measures,0.051
1999-2002,6,Dynamical Causal Learning,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,0.947
1999-2002,6,Dynamical Causal Learning,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,2.496
2002-2005,7,Dynamical Causal Learning,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,0
2002-2005,7,Dynamical Causal Learning,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,0
